stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
10343,18th Ave & Sherman St,, 39.74496,-104.98518,,
10344,18th Ave & Vine St,, 39.74486,-104.96248,,
10345,18th Ave & Washington St,, 39.74491,-104.97903,,
10346,E 18th Ave & York St,, 39.74485,-104.96035,,
10352,19th Ave & Biscay St,, 39.74550,-104.76724,,
10353,19th Ave & Biscay St,, 39.74558,-104.76819,,
10354,19th Ave & Broadway,, 39.74613,-104.98679,,
10355,19th Ave & Ceylon St,, 39.74560,-104.76573,,
10356,19th Ave & Danube Ct,, 39.74542,-104.76399,,
10357,19th Ave & Grant St,, 39.74613,-104.98325,,
10359,19th Ave & Pearl St,, 39.74614,-104.98003,,
10360,19th Ave & Sherman St,, 39.74612,-104.98450,,
10363,19th St & Balsam Ave,, 40.02616,-105.27270,,
10364,20th St & Bluff St,, 40.02378,-105.27104,,
10365,19th St & Avocado Rd,, 40.05616,-105.27264,,
10366,19th St & Avocado Rd,, 40.05550,-105.27282,,
10367,19th St & Balsam Ave,, 40.02702,-105.27252,,
10368,19th St & Elder Ave,, 40.03019,-105.27272,,
10369,19th St & Elder Ave,, 40.03005,-105.27257,,
10372,19th St & Floral Dr,, 40.03181,-105.27258,,
10373,19th St & N Jackson St,, 39.75053,-105.21462,,
10374,19th St & Forest Ave,, 40.03230,-105.27273,,
10375,19th St & Glenwood Dr,, 40.03339,-105.27260,,
10379,19th St & Joslin Ct,, 40.03744,-105.27263,,
10381,19th St & Kalmia Ave,, 40.04032,-105.27268,,
10382,19th St & Kalmia Ave,, 40.03982,-105.27280,,
10383,19th St & Market St,, 39.75240,-104.99442,,
10384,19th St & Norwood Ave,, 40.04428,-105.27269,,
10385,19th St & Norwood Ave,, 40.04377,-105.27283,,
10386,20th St & Pine St,, 40.02175,-105.27034,,
10387,19th St & Poplar Ave,, 40.04677,-105.27283,,
10388,19th St & Poplar Ave,, 40.04704,-105.27269,,
10389,19th St & Riverside Ave,, 40.04842,-105.27270,,
10390,19th St & Redwood Ave,, 40.04857,-105.27284,,
10391,19th St & Upland Ave,, 40.05254,-105.27283,,
10392,19th St & Upland Ave,, 40.05261,-105.27269,,
10393,19th St & Yarmouth Ave,, 40.05799,-105.27282,,
10396,W 1st Ave & Balsam St,, 39.71850,-105.08876,,
10397,W 1st Ave & Balsam St,, 39.71841,-105.08835,,
10398,W 1st Ave & Bannock St,, 39.71843,-104.99115,,
10399,W 1st Ave & Bannock St,, 39.71833,-104.99101,,
10400,1st Ave & Bellaire St,, 39.71776,-104.93702,,
10401,1st Ave & Bellaire St,, 39.71785,-104.93716,,
10402,1st Ave & Broadway,, 39.71830,-104.98711,,
10403,W 1st Ave & Broadway,, 39.71841,-104.98790,,
10404,W 1st Ave & Carr St,, 39.71839,-105.09054,,
10405,W 1st Ave & Carr St,, 39.71849,-105.09133,,
10406,W 1st Ave & Chase St,, 39.71852,-105.05624,,
10407,W 1st Ave & Chase St,, 39.71861,-105.05750,,
10408,1st Ave & Cherry St,, 39.71786,-104.93407,,
10409,E 1st Ave & Colorado Blvd,, 39.71774,-104.94028,,
10413,1st Ave & Fillmore Plaza,, 39.71798,-104.95366,,
10414,1st Ave & Dexter St,, 39.71777,-104.93246,,
10415,W 1st Ave & Dover St,, 39.71837,-105.09333,,
10416,W 1st Ave & Dover St,, 39.71848,-105.09440,,
10417,1st Ave & Elm St,, 39.71778,-104.92880,,
10418,1st Ave & Elm St,, 39.71787,-104.92987,,
10419,W 1st Ave & Everett St,, 39.71836,-105.09637,,
10420,W 1st Ave & Everett St,, 39.71847,-105.09756,,
10422,W 1st Ave & Fenton St,, 39.71850,-105.06052,,
10423,W 1st Ave & Fenton St,, 39.71861,-105.06047,,
10427,1st Ave & Garfield St,, 39.71789,-104.94414,,
10428,W 1st Ave & Garrison St,, 39.71834,-105.09956,,
10429,1st Ave & Gilpin St,, 39.71813,-104.96616,,
10430,1st Ave & Gilpin St,, 39.71838,-104.96719,,
10431,1st Ave & Glencoe St,, 39.71778,-104.92508,,
10432,1st Ave & Glencoe St,, 39.71787,-104.92449,,
10433,1st Ave & Grant St,, 39.71828,-104.98346,,
10436,W 1st Ave & Harlan St,, 39.71849,-105.06228,,
10437,W 1st Ave & Harlan St,, 39.71864,-105.06232,,
10438,1st Ave & Harrison St,, 39.71790,-104.94199,,
10440,E 1st Ave & Holly St,, 39.71789,-104.92265,,
10443,W 1st Ave & Ingalls St,, 39.71858,-105.06446,,
10444,1st Ave & Harrison St,, 39.71774,-104.94205,,
10445,W 1st Ave & Jay St,, 39.71847,-105.06469,,
10447,W 1st Ave & Knox Ct,, 39.71821,-105.03299,,
10448,E 1st Ave & Lafayette St,, 39.71814,-104.97030,,
10449,W 1st Ave & Lamar St,, 39.71846,-105.06701,,
10450,W 1st Ave & Lamar St,, 39.71855,-105.06743,,
10451,1st Ave & Lincoln St,, 39.71840,-104.98663,,
10453,1st Ave & Madison St,, 39.71774,-104.94582,,
10454,1st Ave & Madison St,, 39.71791,-104.94662,,
10455,1st Ave & Magnolia St,, 39.71831,-104.91147,,
10457,W 1st Ave & Meade St,, 39.71809,-105.03574,,
10458,W 1st Ave & Meade St,, 39.71821,-105.03663,,
10459,W 1st Ave & Newland St,, 39.71845,-105.06930,,
10460,W 1st Ave & Newland St,, 39.71856,-105.07011,,
10462,1st Ave & Oneida Ct,, 39.71841,-104.90809,,
10463,1st Ave & Oneida Ct,, 39.71830,-104.90772,,
10464,1st Ave & Pennsylvania St,, 39.71828,-104.98117,,
10465,1st Ave & Pennsylvania St,, 39.71837,-104.98169,,
10466,W 1st Ave & Perry St,, 39.71809,-105.03919,,
10467,W 1st Ave & Perry St,, 39.71821,-105.03999,,
10469,W 1st Ave & Quay St,, 39.71855,-105.07286,,
10470,1st Ave & Detroit St,, 39.71827,-104.95678,,
10471,W 1st Ave & Sheridan Blvd,, 39.71816,-105.05274,,
10472,W 1st Ave & Sheridan Blvd,, 39.71859,-105.05376,,
10473,1st Ave & Steele St,, 39.71774,-104.94881,,
10476,W 1st Ave & Stuart St,, 39.71808,-105.04295,,
10477,W 1st Ave & Stuart St,, 39.71822,-105.04376,,
10478,W 1st Ave & Teller St,, 39.71841,-105.07646,,
10480,E 1st Ave & University Blvd,, 39.71800,-104.95805,,
10481,E 1st Ave & University Blvd.,, 39.71839,-104.96008,,
10482,1st Ave & Vine St,, 39.71838,-104.96232,,
10483,1st Ave & Vine St,, 39.71814,-104.96180,,
10484,W 1st Ave & Vrain St,, 39.71810,-105.04542,,
10485,W 1st Ave & Vrain St,, 39.71824,-105.04605,,
10487,W 1st Ave & Wadsworth Blvd,, 39.71853,-105.08211,,
10488,1st Ave & Washington St,, 39.71837,-104.97950,,
10489,1st Ave & Washington St,, 39.71829,-104.97851,,
10490,W 1st Ave & Wolff St,, 39.71826,-105.04849,,
10491,W 1st Ave & Wolff St,, 39.71812,-105.04761,,
10492,W 1st Ave & Yates St,, 39.71814,-105.05006,,
10493,W 1st Ave & Yates St,, 39.71827,-105.05043,,
10494,W 1st Ave & Zephyr St,, 39.71842,-105.08479,,
10495,W 1st Ave & Zephyr St,, 39.71851,-105.08558,,
10496,W 20th Ave & Zephyr St,, 39.74741,-105.08585,,
10497,W 20th Ave & Allison St,, 39.74759,-105.08663,,
10498,W 20th Ave & Ames St,, 39.74771,-105.05421,,
10499,W 20th Ave & Bell Ct,, 39.74752,-105.09520,,
10500,W 20th Ave & Bell Ct,, 39.74740,-105.09462,,
10502,W 20th Ave & Carr St,, 39.74758,-105.09135,,
10503,W 20th Ave & Cody St,, 39.74743,-105.09151,,
10504,W 20th Ave & Depew St,, 39.74755,-105.05756,,
10505,W 20th Ave & Depew St,, 39.74770,-105.05843,,
10506,W 20th Ave & Garrison St,, 39.74751,-105.10047,,
10507,W 20th Ave & Glen Ayr Dr,, 39.74745,-105.09967,,
10509,W 20th Ave & Harlan St,, 39.74756,-105.06222,,
10510,W 20th Ave & Harlan St,, 39.74769,-105.06294,,
10511,W 20th Ave & Independence St,, 39.74742,-105.10414,,
10512,W 20th Ave & Independence St,, 39.74753,-105.10455,,
10513,W 20th Ave & Jay St,, 39.74768,-105.06563,,
10515,W 20th Ave & Kipling St,, 39.74740,-105.10895,,
10516,W 20th Ave & Kipling St,, 39.74751,-105.10996,,
10517,W 20th Ave & Lewis St,, 39.74750,-105.11322,,
10518,W 20th Ave & Lewis St,, 39.74738,-105.11302,,
10520,W 20th Ave & Marshall St,, 39.74768,-105.06905,,
10521,W 20th Ave & Moore St,, 39.74748,-105.11628,,
10522,W 20th Ave & Nelson St,, 39.74737,-105.11634,,
10523,W 20th Ave & Newland St,, 39.74754,-105.06897,,
10524,W 20th Ave & Owens Ct,, 39.74736,-105.12016,,
10525,W 20th Ave & Owens Ct,, 39.74747,-105.12110,,
10526,20th Ave & Pearl St,, 39.74761,-104.98016,,
10527,W 20th Ave & Pierce St,, 39.74762,-105.07233,,
10528,W 20th Ave & Pierce St,, 39.74748,-105.07313,,
10529,W 20th Ave & Robb St,, 39.74730,-105.12492,,
10530,W 20th Ave & Quail Dr,, 39.74745,-105.12474,,
10532,W 20th Ave & Simms St,, 39.74733,-105.12762,,
10533,W 20th Ave & Simms St,, 39.74745,-105.12947,,
10534,W 20th Ave & Teller St,, 39.74751,-105.07625,,
10535,W 20th Ave & Teller St,, 39.74761,-105.07701,,
10536,W 20th Ave & Union Dr,, 39.74728,-105.13484,,
10537,W 20th Ave & Union St,, 39.74740,-105.13327,,
10538,W 20th Ave & Wadsworth Blvd,, 39.74747,-105.08076,,
10539,W 20th Ave & Wadsworth Blvd,, 39.74761,-105.08202,,
10540,W 20th Ave & Willow Ct,, 39.74738,-105.13827,,
10541,W 20th Ave & Willow Ct,, 39.74727,-105.13902,,
10542,W 20th Ave & Youngfield St,, 39.74721,-105.14205,,
10550,20th St & Larimer St,, 39.75340,-104.99301,,
10552,20th St & Mapleton Ave,, 40.02324,-105.27070,,
10553,20th St & Mesa Dr,, 40.02479,-105.27130,,
10554,20th St & Pine St,, 40.02233,-105.27039,,
10555,22nd Ave & Downing St,, 39.74941,-104.97304,,
10556,E 22nd Ave & Downing St,, 39.74956,-104.97357,,
10557,22nd Ave & Clarkson St,, 39.74942,-104.97719,,
10558,22nd Ave & Ogden St,, 39.74956,-104.97502,,
10559,22nd Ave & Franklin St,, 39.74939,-104.96824,,
10560,22nd Ave & Franklin St,, 39.74951,-104.96872,,
10562,22nd Ave & Lafayette St,, 39.74940,-104.97058,,
10563,22nd Ave & Lafayette St,, 39.74953,-104.97117,,
10564,22nd Ave & Race St,, 39.74940,-104.96358,,
10565,22nd Ave & Race St,, 39.74952,-104.96335,,
10566,22nd Ave & Williams St,, 39.74939,-104.96564,,
10567,22nd Ave & Williams St,, 39.74951,-104.96621,,
10568,23rd Ave & Albion St,, 39.75110,-104.93968,,
10569,23rd Ave & Birch St,, 39.75095,-104.93569,,
10570,23rd Ave & Birch St,, 39.75111,-104.93645,,
10571,W 23rd Ave & Clay St,, 39.75125,-105.02092,,
